,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
374,,Mekong Farmstay CanTho - C.R Floating Market - Deluxe Double Room,Nhà ở,,,,,,,,,"10.015000343322754,105.72875213623047"
376,,HO GIA AN Home - Phòng chung,Nhà ở,,,,,,,,,"10.006059646606445,105.7397689819336"
380,,Nhà Yên’s Homestays Hotels Retreats Cần Thơ,Nhà ở,,,,,,,,,"10.011489868164062,105.75845336914062"
385,,Bến Đò Xưa Homestay  Coffee - Double Room with Pool View,Căn hộ,,,,,,,,,"9.997659683227539,105.74674987792969"
387,,HO GIA AN Home - Căn hộ yên bình,Biệt thự,,,,,,,,,"10.00214958190918,105.74638366699219"
397,,Cato Homestay - Bungalow with Patio,Nhà ở,,,,,,,,,"10.00037956237793,105.71109008789062"
433,,Grandma House - King Room,Nhà ở,,,,,,,,,"10.001500129699707,105.74507904052734"
490,,NHÀ NGHỈ XUÂN LAN CẦN THƠ - Deluxe Triple Room,Nhà ở,,,,,,,,,"10.018610000610352,105.76660919189453"
576,,Can Tho Home  Apartment,Nhà ở,,,,,,,,,"10.033889770507812,105.7854995727539"
579,,Nhu's house,Nhà ở,,,,,,,,,"10.037739753723145,105.78431701660156"
